"category","region","state","year","amount"
"Population_(Thousands)","Southeast","Florida",1996,14853
"Population_(Thousands)","Southeast","Georgia",1996,7501
"Population_(Thousands)","Far West","Hawaii",1996,1204
"Population_(Thousands)","Rocky Mountains","Idaho",1996,1203
"Population_(Thousands)","Great Lakes","Illinois",1996,12102
"Population_(Thousands)","Great Lakes","Indiana",1996,5906
"Population_(Thousands)","Plains","Iowa",1996,2880
"Population_(Thousands)","Plains","Kansas",1996,2615
"Population_(Thousands)","Southeast","Kentucky",1996,3920
"Population_(Thousands)","Southeast","Louisiana",1996,4399
"Population_(Thousands)","New England","Maine",1996,1249
"Population_(Thousands)","Mideast","Maryland",1996,5112
"Population_(Thousands)","New England","Massachusetts",1996,6180
"Population_(Thousands)","Great Lakes","Michigan",1996,9759
"Population_(Thousands)","Plains","Minnesota",1996,4713
"Population_(Thousands)","Southeast","Mississippi",1996,2748
"Population_(Thousands)","Plains","Missouri",1996,5432
"Population_(Thousands)","Rocky Mountains","Montana",1996,886
"Population_(Thousands)","Plains","Nebraska",1996,1674
"Population_(Thousands)","Far West","Nevada",1996,1666
"Population_(Thousands)","New England","New Hampshire",1996,1175
"Population_(Thousands)","Mideast","New Jersey",1996,8150
"Population_(Thousands)","Southwest","New Mexico",1996,1752
"Population_(Thousands)","Mideast","New York",1996,18588
"Population_(Thousands)","Southeast","North Carolina",1996,7501
"Population_(Thousands)","Plains","North Dakota",1996,650
"Population_(Thousands)","Great Lakes","Ohio",1996,11243
"Population_(Thousands)","Southwest","Oklahoma",1996,3340
"Population_(Thousands)","Far West","Oregon",1996,3247
"Population_(Thousands)","Mideast","Pennsylvania",1996,12220
"Population_(Thousands)","New England","Rhode Island",1996,1021
"Population_(Thousands)","Southeast","South Carolina",1996,3796
"Population_(Thousands)","Plains","South Dakota",1996,742
"Population_(Thousands)","Southeast","Tennessee",1996,5417
"Population_(Thousands)","Southwest","Texas",1996,19340
"Population_(Thousands)","Rocky Mountains","Utah",1996,2068
"Population_(Thousands)","New England","Vermont",1996,594
"Population_(Thousands)","Southeast","Virginia",1996,6751
"Population_(Thousands)","Far West","Washington",1996,5570
"Population_(Thousands)","Southeast","West Virginia",1996,1823
"Population_(Thousands)","Great Lakes","Wisconsin",1996,5230
"Population_(Thousands)","Rocky Mountains","Wyoming",1996,488
"Population_(Thousands)","Southeast","Alabama",1997,4368
"Population_(Thousands)","Far West","Alaska",1997,613
"Population_(Thousands)","Southwest","Arizona",1997,4737
"Population_(Thousands)","Southeast","Arkansas",1997,2601
"Population_(Thousands)","Far West","California",1997,32486
"Population_(Thousands)","Rocky Mountains","Colorado",1997,4018
"Population_(Thousands)","New England","Connecticut",1997,3349
"Population_(Thousands)","Mideast","Delaware",1997,751
"Population_(Thousands)","Mideast","District of Columbia",1997,568
"Population_(Thousands)","Southeast","Florida",1997,15186
"Population_(Thousands)","Southeast","Georgia",1997,7685
"Population_(Thousands)","Far West","Hawaii",1997,1212
"Population_(Thousands)","Rocky Mountains","Idaho",1997,1229
"Population_(Thousands)","Great Lakes","Illinois",1997,12186
"Population_(Thousands)","Great Lakes","Indiana",1997,5955
"Population_(Thousands)","Plains","Iowa",1997,2891
"Population_(Thousands)","Plains","Kansas",1997,2635
"Population_(Thousands)","Southeast","Kentucky",1997,3953
"Population_(Thousands)","Southeast","Louisiana",1997,4421
"Population_(Thousands)","New England","Maine",1997,1255
"Population_(Thousands)","Mideast","Maryland",1997,5157
"Population_(Thousands)","New England","Massachusetts",1997,6226
"Population_(Thousands)","Great Lakes","Michigan",1997,9809
"Population_(Thousands)","Plains","Minnesota",1997,4763
"Population_(Thousands)","Southeast","Mississippi",1997,2777
"Population_(Thousands)","Plains","Missouri",1997,5481
"Population_(Thousands)","Rocky Mountains","Montana",1997,890
"Population_(Thousands)","Plains","Nebraska",1997,1686
"Population_(Thousands)","Far West","Nevada",1997,1764
"Population_(Thousands)","New England","New Hampshire",1997,1189
"Population_(Thousands)","Mideast","New Jersey",1997,8219
"Population_(Thousands)","Southwest","New Mexico",1997,1775
"Population_(Thousands)","Mideast","New York",1997,18657
"Population_(Thousands)","Southeast","North Carolina",1997,7657
"Population_(Thousands)","Plains","North Dakota",1997,650
"Population_(Thousands)","Great Lakes","Ohio",1997,11277
"Population_(Thousands)","Southwest","Oklahoma",1997,3373
"Population_(Thousands)","Far West","Oregon",1997,3304
"Population_(Thousands)","Mideast","Pennsylvania",1997,12228
"Population_(Thousands)","New England","Rhode Island",1997,1025
"Population_(Thousands)","Southeast","South Carolina",1997,3860
"Population_(Thousands)","Plains","South Dakota",1997,744
"Population_(Thousands)","Southeast","Tennessee",1997,5499
"Population_(Thousands)","Southwest","Texas",1997,19740
"Population_(Thousands)","Rocky Mountains","Utah",1997,2120
"Population_(Thousands)","New England","Vermont",1997,597
"Population_(Thousands)","Southeast","Virginia",1997,6829
"Population_(Thousands)","Far West","Washington",1997,5675
"Population_(Thousands)","Southeast","West Virginia",1997,1819
"Population_(Thousands)","Great Lakes","Wisconsin",1997,5266
"Population_(Thousands)","Rocky Mountains","Wyoming",1997,489
"Population_(Thousands)","Southeast","Alabama",1998,4405
"Population_(Thousands)","Far West","Alaska",1998,620
"Population_(Thousands)","Southwest","Arizona",1998,4883
"Population_(Thousands)","Southeast","Arkansas",1998,2626
"Population_(Thousands)","Far West","California",1998,32988
"Population_(Thousands)","Rocky Mountains","Colorado",1998,4117
"Population_(Thousands)","New England","Connecticut",1998,3365
"Population_(Thousands)","Mideast","Delaware",1998,763
"Population_(Thousands)","Mideast","District of Columbia",1998,565
"Population_(Thousands)","Southeast","Florida",1998,15487
"Population_(Thousands)","Southeast","Georgia",1998,7864
"Population_(Thousands)","Far West","Hawaii",1998,1215
"Population_(Thousands)","Rocky Mountains","Idaho",1998,1252
"Population_(Thousands)","Great Lakes","Illinois",1998,12272
"Population_(Thousands)","Great Lakes","Indiana",1998,5999
"Population_(Thousands)","Plains","Iowa",1998,2903
"Population_(Thousands)","Plains","Kansas",1998,2661
"Population_(Thousands)","Southeast","Kentucky",1998,3985
"Population_(Thousands)","Southeast","Louisiana",1998,4440
"Population_(Thousands)","New England","Maine",1998,1259
"Population_(Thousands)","Mideast","Maryland",1998,5204
"Population_(Thousands)","New England","Massachusetts",1998,6272
"Population_(Thousands)","Great Lakes","Michigan",1998,9848
"Population_(Thousands)","Plains","Minnesota",1998,4813
"Population_(Thousands)","Southeast","Mississippi",1998,2805
"Population_(Thousands)","Plains","Missouri",1998,5522
"Population_(Thousands)","Rocky Mountains","Montana",1998,892
"Population_(Thousands)","Plains","Nebraska",1998,1696
"Population_(Thousands)","Far West","Nevada",1998,1853
"Population_(Thousands)","New England","New Hampshire",1998,1206
"Population_(Thousands)","Mideast","New Jersey",1998,8287
"Population_(Thousands)","Southwest","New Mexico",1998,1793
"Population_(Thousands)","Mideast","New York",1998,18756
"Population_(Thousands)","Southeast","North Carolina",1998,7809
"Population_(Thousands)","Plains","North Dakota",1998,648
"Population_(Thousands)","Great Lakes","Ohio",1998,11312
"Population_(Thousands)","Southwest","Oklahoma",1998,3405
"Population_(Thousands)","Far West","Oregon",1998,3352
"Population_(Thousands)","Mideast","Pennsylvania",1998,12246
"Population_(Thousands)","New England","Rhode Island",1998,1031
"Population_(Thousands)","Southeast","South Carolina",1998,3919
"Population_(Thousands)","Plains","South Dakota",1998,746
